Catégorie,Prompt,Langue,LOC
"Souveraineté, défense, espace",Which companies are involved in the production of the Rafale?,Anglais,
"Souveraineté, défense, espace",Quelles sont les entreprises impliquées dans la production du Rafale ?,Français,
"Souveraineté, défense, espace",Does Safran supply equipment for missiles and/or drones?,Anglais,
"Souveraineté, défense, espace",Que fait Safran dans le domaine des missiles et des drones ?,Français,
"Souveraineté, défense, espace",Who are the key players in AI within the defense sector?,Anglais,
"Souveraineté, défense, espace",Quels sont les acteurs de l'IA dans le secteur de la défense ?,Français,
"Souveraineté, défense, espace",Is Safran contributing to defense programs in the US and/or the UK?,Anglais,
Innovation & Technologie,What are Safran’s latest innovations?,Anglais,
Innovation & Technologie,Quelles sont les dernières innovations de Safran ?,Français,
Innovation & Technologie,Who are the most innovative aerospace players?,Anglais,
Innovation & Technologie,Liste les entreprises aéronautiques les plus innovantes ?,Français,
Innovation & Technologie,What are the innovations introduced by the LEAP engine?,Anglais,
Innovation & Technologie,Quelles sont les innovations apportées par le moteur LEAP ?,Français,
Innovation & Technologie,Which manufacturers are the most advanced in the next generation of commercial aircraft?,Anglais,
Innovation & Technologie,Quels sont les industriels les plus avancés sur la prochaine génération d'avions ?,Français,
Innovation & Technologie,Who is developing new materials for aerospace?,Anglais,
Innovation & Technologie,Qui développe les nouveaux matériaux pour l'aéronautique ?,Français,
Innovation & Technologie,Is AI used in production at Safran?,Anglais,
Innovation & Technologie,L’IA est-elle utilisée chez Safran pour la production ?,Français,
Marque Employeur & RH,Compare Safran’s employee benefits and corporate culture with those of its competitors. Take recent employee reviews into account.,Anglais,
Marque Employeur & RH,Compare les avantages sociaux et la culture d'entreprise de Safran et de ses concurrents. Tiens compte des avis de salariés récents.,Français,
Marque Employeur & RH,"Which aerospace companies recruit, and what benefits do they offer ?",Anglais,
Marque Employeur & RH,Quelles entreprises du secteur aéronautique recrutent et quels avantages proposent-elles ?,Français,
Marque Employeur & RH,Quelles sont les entreprises industrielles les plus attractives pour les jeunes en France ?,Français,
Marque Employeur & RH,Which aerospace companies are the most attractive to young people in the UK/US?,Anglais,
Marque Employeur & RH,Do you recommend working at Safran?,Anglais,
Marque Employeur & RH,Me conseilles-tu de travailler chez Safran ?,Français,
Marque Employeur & RH,What is the best company to work for in aerospace?,Anglais,
Marque Employeur & RH,Quelle est la meilleure entreprise pour travailler dans l’aéronautique ?,Français,
Réputation et risques,Is GE engine partnership with Safran going to last?,Anglais,http://oewqfxhy:4flfjfrh90yd@136.0.188.167:6130
Réputation et risques,Le partenariat de Safran avec GE dans les moteurs est-il pérenne ?,Français,
Réputation et risques,Summarize Safran’s recent quality issues.,Anglais,
Réputation et risques,Résume les problèmes de qualité récents chez Safran.,Français,
Réputation et risques,Is Safran dependent on the Chinese market?,Anglais,
Réputation et risques,Est-ce que Safran est dépendant vis-à-vis du marché chinois ?,Français,
Réputation et risques,Which French companies supply military or technological equipment to Russia or its allies during the war in Ukraine?,Anglais,
Réputation et risques,Quelles entreprises françaises livrent des équipements militaires ou technologiques à la Russie ou à ses alliés depuis la Guerre en Ukraine ?,Français,
Réputation et risques,Which French companies supply military or technological equipment to Israel?,Anglais,
Réputation et risques,Quelles entreprises françaises livrent des équipements militaires ou technologiques à Israël ?,Français,
Réputation et risques,What controversies surround Safran?,Anglais,
Réputation et risques,Quelles sont les polémiques autour de Safran?,Français,
Réputation et risques,Have Safran products been implicated in aviation accidents or incidents?,Anglais,
Réputation et risques,Est-ce que des produits Safran sont-ils mis en cause dans des accidents/incidents aériens ?,Français,
